time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
1970/01/01/01:03:28.060000,4151,208,60000000,world,-25.748130145444176,-5.334596889368139,-16.999041995338793,0.0015588333963979459,-0.0014865699999936067,0.919577421635451,0.3929029470064759
1970/01/01/01:03:28.110000,4152,208,110000000,world,-25.747656949855358,-5.335255449943066,-16.99918520584281,0.0015087236398137521,-0.0015278294195465785,0.920098784389872,0.39168050303088026
1970/01/01/01:03:28.160000,4153,208,160000000,world,-25.747192828600912,-5.335898647560253,-16.9993270093853,0.001467107034096707,-0.00155047910038858,0.9205087819158166,0.3907160427054017
1970/01/01/01:03:28.210000,4154,208,210000000,world,-25.746737567583118,-5.336526835256155,-16.999462932875467,0.0014471963853963656,-0.0015239153625572677,0.9206982551386652,0.39026953031104933
1970/01/01/01:03:28.260000,4155,208,260000000,world,-25.746290963514795,-5.337140385250969,-16.999580365970836,0.0014535676329687562,-0.0014380272378875837,0.9205466129235549,0.39062738338955494
1970/01/01/01:03:28.310000,4156,208,310000000,world,-25.745852884312676,-5.337739548936382,-16.99969179866106,0.0014552490219018831,-0.0013657249804676416,0.920043457078577,0.3918112480933422
1970/01/01/01:03:28.360000,4157,208,360000000,world,-25.74542314821331,-5.3383246506975,-16.999797267205444,0.0014364404304783823,-0.0013435940163312931,0.9194743671488096,0.39314503627835
1970/01/01/01:03:28.410000,4158,208,410000000,world,-25.745001615271867,-5.338896073892707,-16.999895246172148,0.0013902538421354243,-0.0013868186597359594,0.9189526451346157,0.3943630052735071
1970/01/01/01:03:28.460000,4159,208,460000000,world,-25.744588165320877,-5.33945415071416,-16.999993875659992,0.0013520253522475206,-0.0014122812485015193,0.91854028447029,0.39532255601516214
1970/01/01/01:03:28.510000,4160,208,510000000,world,-25.744182692039406,-5.339999256883952,-17.000093627180767,0.0013347452103636595,-0.0013895316515950737,0.9183497720496799,0.395765061410572
1970/01/01/01:03:28.560000,4161,208,560000000,world,-25.743785125787642,-5.340531768804553,-17.000194619256643,0.0013436156108308107,-0.001306045646986785,0.9185048082578424,0.39540536939839643
1970/01/01/01:03:28.610000,4162,208,610000000,world,-25.74339543552536,-5.341052020121676,-17.000300255857656,0.0013448507944879829,-0.001239619533519097,0.9190138308220905,0.3942210464669011
1970/01/01/01:03:28.660000,4163,208,660000000,world,-25.743013472309553,-5.341560304789668,-17.000407647256683,0.0013253629698260275,-0.0012212791930638063,0.9195855293613083,0.39288574176141
1970/01/01/01:03:28.710000,4164,208,710000000,world,-25.742639050823946,-5.342056909626935,-17.00051122809021,0.0012787001320271965,-0.0012671761170669547,0.9201061286247896,0.39166499876522415
1970/01/01/01:03:28.760000,4165,208,760000000,world,-25.742271979737033,-5.3425420875686305,-17.000608038734057,0.0012390126066463287,-0.0012978711488434162,0.9205154317364134,0.39070208639494874
1970/01/01/01:03:28.810000,4166,208,810000000,world,-25.74191207541407,-5.343016100523138,-17.00069361540992,0.0012198885132376652,-0.0012817214438353487,0.9207042681360972,0.3902569918632199
1970/01/01/01:03:28.860000,4167,208,860000000,world,-25.74155917004026,-5.3434792100219335,-17.000761297964313,0.0012272539567399965,-0.0012051369330020724,0.9205520437734469,0.3906161494321865
1970/01/01/01:03:28.910000,4168,208,910000000,world,-25.741213160727902,-5.343931586235139,-17.000825964969117,0.0012303473209603092,-0.0011405709165515792,0.9200483719974134,0.3918011977117522
1970/01/01/01:03:28.960000,4169,208,960000000,world,-25.74087390275727,-5.344373460718834,-17.000887571423394,0.0012133499561603291,-0.0011249942454960302,0.919478825805581,0.39313604650937506
1970/01/01/01:03:29.010000,4170,209,10000000,world,-25.74054127667788,-5.344805116664708,-17.000944473934403,0.00116929130137502,-0.0011739053397845872,0.9189567027666055,0.3943549583109545
1970/01/01/01:03:29.060000,4171,209,60000000,world,-25.74021517475403,-5.345226794868343,-17.00100445475947,0.0011333846633402873,-0.0012045263874277694,0.9185439716723591,0.3953153635513744
1970/01/01/01:03:29.110000,4172,209,110000000,world,-25.739895501175898,-5.345638776632724,-17.001067849840744,0.0011186257483688496,-0.0011864695820817475,0.9183531083215342,0.395758650445625
1970/01/01/01:03:29.160000,4173,209,160000000,world,-25.73958219105079,-5.346041345136549,-17.00113468011142,0.0011302447311304685,-0.0011072206954299071,0.9185078071810985,0.39539967723374436
1970/01/01/01:03:29.210000,4174,209,210000000,world,-25.739275218494473,-5.346434745834067,-17.00120814076308,0.0011344069820391016,-0.0010446888464925978,0.9190165220474656,0.39421599910428956
1970/01/01/01:03:29.260000,4175,209,260000000,world,-25.738974459476907,-5.346819191184069,-17.001285237610972,0.0011178631422151262,-0.0010300794226730569,0.919587951095852,0.3928812664377254
1970/01/01/01:03:29.310000,4176,209,310000000,world,-25.73867976189442,-5.347194886968764,-17.00136304558031,0.0010746148614926847,-0.001078336027455,0.9201083216059813,0.39166102551279663
1970/01/01/01:03:29.360000,4177,209,360000000,world,-25.73839096675477,-5.347562009753899,-17.001441301775095,0.0010390191167710579,-0.001109486066345929,0.9205174185855896,0.39069856866959
1970/01/01/01:03:29.410000,4178,209,410000000,world,-25.738107920679244,-5.347920751728613,-17.001516554385745,0.0010246296280520346,-0.0010918876333338716,0.9207060635022767,0.39025389497820956
1970/01/01/01:03:29.460000,4179,209,460000000,world,-25.73776490417594,-5.34827251837916,-17.001585392164642,0.0010182641772947592,-0.0010203185977929541,0.9205749205103911,0.3905633595401793
1970/01/01/01:03:29.510000,4180,209,510000000,world,-25.737186392761437,-5.348621589482267,-17.001654984700764,0.0009564585138892198,-0.0009913124069119992,0.9201684672617434,0.39152023491001964
1970/01/01/01:03:29.560000,4181,209,560000000,world,-25.73652574683502,-5.34896693320005,-17.00172106141356,0.000889660030781804,-0.0010104892030408231,0.9197191944930295,0.39257456705407334
1970/01/01/01:03:29.610000,4182,209,610000000,world,-25.735808252785592,-5.34930902951879,-17.00176432754142,0.0008098295107865183,-0.001081497565471251,0.9193314696398937,0.39348166852971994
1970/01/01/01:03:29.660000,4183,209,660000000,world,-25.734984768513876,-5.349649779787098,-17.001805287886476,0.0007294920250700692,-0.0011404679980270853,0.9190822531082722,0.39406342027084
